"Name","2019 Population","GDP (IMF)","GDP (UN '16)","GDP Per Capita"
"Bulgaria",6988.7390000000005,68.49,53.239643485,9800.051196646491
"Brunei",439.336,14.791,11.400266878,33666.71522479378
"British Virgin Islands",32.205999999999996,0,0.97123711,30157.023846488235
"Brazil",212392.717,2256.85,1795.925681016,10625.83515987509
"Botswana",2374.636,19.268,15.566057294,8114.085695660304
"Bosnia and Herzegovina",3501.7740000000003,21.502,16.909904149,6140.316308248333
"Bolivia",11379.861,43.804,33.806395465,3849.2561552377483
"Bhutan",826.2289999999999,2.8,2.212642587,3388.8909733257974
"Bermuda",60.833,0,6.127341,100723.96561077048
"Benin",11801.595,12.2,8.893638002,1033.7585724641458
"Belize",390.231,1.987,1.7411,5091.855849484024
"Belgium",11562.784,587.699,467.955267357,50826.77320617595
"Belarus",9433.874,61.522,47.408111179,6521.393014153041
"Barbados",287.01,5.516,4.552793288,19218.842549040102
"Bangladesh",168065.92,312.794,220.836732893,1861.1387722150926
"Bahrain",1637.896,39.703,32.179073596,24240.244801867764
"Bahamas",403.095,12.899,11.2618,31999.900767809075
"Azerbaijan",10014.575,47.926,37.847204069,4785.624951632994
"Austria",8766.201,503.538,390.799991147,57440.84581222813
"Australia",25088.636000000002,1581.89,1304.463104965,63052.05273016835
"Aruba",106.053,0,2.667039106,25148.172196920405
"Armenia",2936.7059999999997,12.696,10.572299425,4323.211107955649
"Argentina",45101.780999999995,659.694,545.866164479,14626.783807051877
"Antigua and Barbuda",104.084,1.693,1.460157909,16265.708466238806
"Anguilla",15.174000000000001,0,0.33752047,22243.34190061948
"Angola",31787.566000000003,121.138,106.91753579,3810.861139855753
"Andorra",77.072,0,2.858406626,37087.48476749013
"Algeria",42679.018,208.773,159.049145187,4891.701116459615
"Albania",2938.428,16.146,11.863866791,5494.774757115029
"Afghanistan",37209.007000000005,22.925,20.23506333,616.1142650219072
