Country,Average Temperature,GDP Per Capita
Madagascar,22.65,502.75046290937036
Algeria,22.5,4891.701116459615
Mauritius,22.4,11182.442848962693
Dominica,22.35,7257.729749996653
Tanzania,22.35,1012.2541358075674
Ethiopia,22.2,814.6954434865702
Egypt,22.1,2670.229955032061
Malawi,21.9,356.2093182105978
Ecuador,21.85,6424.745462749388
Libya,21.8,7142.156976156583
Australia,21.65,63052.05273016835
Angola,21.55,3810.861139855753
Bolivia,21.55,3849.256155237748
Botswana,21.5,8114.085695660304
Iraq,21.4,5775.518982476102
Swaziland,21.4,3281.0188397175666
Zambia,21.4,1500.6035329600452
Mexico,21.0,9711.3208096833
Zimbabwe,21.0,1217.9220170319459
Pakistan,20.2,1380.7962890136675
Namibia,19.95,5325.897541101502
Burundi,19.8,390.98255661472336
Peru,19.6,7491.201677545297
Israel,19.2,45510.230994804704
Malta,19.2,37036.780574501725
Tunisia,19.2,3560.6723081602504
Cyprus,18.45,21994.664672942115
Jordan,18.3,4448.353163927683
Rwanda,17.85,823.1718659677365
South Africa,17.75,6662.401683407159
Syria,17.75,1198.0570989061625
Uruguay,17.55,19168.8712395424
Iran,17.25,4988.048528795302
Morocco,17.1,3522.1086543210017
Lebanon,16.4,9294.382618174122
Greece,15.4,21199.498085459767
Portugal,15.15,25388.735235257787
Turkmenistan,15.1,7808.249675518687
Argentina,14.8,14626.783807051876
Monaco,13.55,165413.55626310676
Italy,13.45,38189.677627993195
Spain,13.3,34104.95744831258
Myanmar,13.05,1379.8183448370953
Afghanistan,12.6,616.1142650219073
Uzbekistan,12.05,1459.794031633382
Azerbaijan,11.95,4785.6249516329935
Lesotho,11.85,1335.5537313940615
San Marino,11.85,55339.48876287741
South Korea,11.5,34625.562615479415
Albania,11.4,5494.774757115029
Japan,11.15,42270.551251354445
Turkey,11.1,11591.539022083718
Croatia,10.9,15412.492500268108
France,10.7,46732.38882107418
Montenegro,10.55,9314.297971732964
Bulgaria,10.55,9800.051196646491
New Zealand,10.55,49104.32310764794
Serbia,10.55,5874.45426509952
Bosnia and Herzegovina,9.85,6140.3163082483325
Hungary,9.75,17899.589668371802
Belgium,9.55,50826.773206175945
Moldova,9.45,2457.472547924809
Ireland,9.3,84426.09134996952
Netherlands,9.25,58062.005585975254
Slovenia,8.9,29126.278879869347
Romania,8.8,13614.951425216184
Luxembourg,8.65,129710.2808747856
United States,8.55,65058.27484507349
Germany,8.5,53576.818511038255
Chile,8.45,16134.024022813755
United Kingdom,8.45,45140.74699066665
Ukraine,8.3,2893.4892894704035
Nepal,8.1,960.1891228573841
Poland,7.85,17091.859904884466
Andorra,7.6,37087.48476749013
Czech Republic,7.55,26053.213043980908
Denmark,7.5,66907.01520841442
Bhutan,7.4,3388.890973325797
Armenia,7.15,4323.211107955649
China,6.95,10945.79656324335
Slovakia,6.8,21991.43017585623
Kazakhstan,6.4,10244.140661766247
Austria,6.35,57440.84581222812
Belarus,6.15,6521.393014153041
Lithuania,6.2,20323.20937391668
Georgia,5.8,4465.186757659179
North Korea,5.7,652.5570640851189
Liechtenstein,5.65,161276.88633996455
Latvia,5.6,20208.695688574382
Switzerland,5.5,90532.47584674208
Estonia,5.1,25515.455615056933
Sweden,2.1,62547.851988459326
Tajikistan,2.0,879.8966853207061
Iceland,1.75,92921.78314922805
